date,visitors_pool_total,sportbad_closed,freizeitbad_closed,sauna_closed,kursbecken_closed,event,price_adult_90min,price_adult_max,price_reduced_90min,price_reduced_max,sloop_dummy,sloop_days_since_opening,school_holiday,bank_holiday,yr,month,day,air_humidity_UniOS,air_pressure_UniOS,global_solar_radiation_UniOS,temperature_UniOS,wind_speed_avg_UniOS,wind_speed_max_UniOS,wind_direction_category_UniOS,air_humidity_DWD,air_temperature_daily_max_DWD,air_temperature_daily_mean_DWD,air_temperature_daily_min_DWD,precipitation_DWD,snow_height_DWD,sunshine_hours_DWD,wind_speed_max_DWD
2005-04-04,817,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,4,NA,NA,NA,NA,NA,NA,NA,49,21.6,14.5,6.8,3.8,0,8.9,10.5
2005-04-05,718,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,5,NA,NA,NA,NA,NA,NA,NA,71,13.0,9.2,4.8,0.0,0,4.7,13.4
2005-04-06,726,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,6,NA,NA,NA,NA,NA,NA,NA,65,13.8,9.4,3.5,2.3,0,5.5,13.4
2005-04-07,638,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,7,NA,NA,NA,NA,NA,NA,NA,75,12.5,8.9,6.0,2.6,0,7.8,20.6
2005-04-08,1089,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,8,NA,NA,NA,NA,NA,NA,NA,82,10.0,6.3,2.8,2.2,0,0.8,8.4
2005-04-09,1941,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,9,NA,NA,NA,NA,NA,NA,NA,75,8.0,4.1,1.5,2.0,0,3.7,11.6
2005-04-10,2590,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,10,NA,NA,NA,NA,NA,NA,NA,91,10.4,6.5,3.9,3.1,0,0.1,10.3
2005-04-11,912,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,11,NA,NA,NA,NA,NA,NA,NA,82,12.1,8.4,4.7,0.0,0,0.0,6.5
2005-04-12,589,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,12,NA,NA,NA,NA,NA,NA,NA,75,16.5,9.8,2.5,0.0,0,3.8,4.3
2005-04-13,793,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,13,NA,NA,NA,NA,NA,NA,NA,71,16.5,12.1,8.0,0.5,0,3.5,9.7
2005-04-14,585,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,14,NA,NA,NA,NA,NA,NA,NA,69,17.1,13.4,9.6,0.0,0,3.5,9.5
2005-04-15,1015,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,15,NA,NA,NA,NA,NA,NA,NA,74,21.2,12.9,8.1,2.0,0,8.8,15.3
2005-04-16,1658,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,16,NA,NA,NA,NA,NA,NA,NA,72,20.3,13.0,7.3,0.0,0,6.0,10.1
2005-04-17,2033,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,17,NA,NA,NA,NA,NA,NA,NA,86,16.2,11.3,8.3,0.0,0,3.6,9.4
2005-04-18,847,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,18,NA,NA,NA,NA,NA,NA,NA,84,17.2,12.7,8.5,0.1,0,0.9,6.0
2005-04-19,692,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,19,NA,NA,NA,NA,NA,NA,NA,90,NA,8.9,NA,3.8,0,NA,NA
2005-04-20,736,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,20,NA,NA,NA,NA,NA,NA,NA,54,12.7,7.9,2.7,0.0,0,10.4,11.8
2005-04-21,657,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,21,NA,NA,NA,NA,NA,NA,NA,58,13.4,7.0,-0.5,0.0,0,11.3,7.0
2005-04-22,888,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,22,NA,NA,NA,NA,NA,NA,NA,55,15.4,8.1,-0.5,0.0,0,13.7,5.9
2005-04-23,1216,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,23,NA,NA,NA,NA,NA,NA,NA,57,17.9,10.2,1.5,0.0,0,13.1,7.9
2005-04-24,1230,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,24,NA,NA,NA,NA,NA,NA,NA,55,18.0,11.8,4.5,0.0,0,10.7,10.8
2005-04-25,763,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,25,NA,NA,NA,NA,NA,NA,NA,65,12.7,8.8,6.0,1.4,0,4.3,11.5
2005-04-26,612,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,26,NA,NA,NA,NA,NA,NA,NA,78,13.5,10.7,7.5,4.3,0,0.6,6.9
2005-04-27,771,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,27,NA,NA,NA,NA,NA,NA,NA,78,15.5,11.1,7.3,3.7,0,4.1,14.5
2005-04-28,681,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,28,NA,NA,NA,NA,NA,NA,NA,66,17.5,12.3,6.5,0.0,0,11.1,7.8
2005-04-29,903,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,29,NA,NA,NA,NA,NA,NA,NA,86,16.9,12.9,9.2,7.2,0,1.0,6.4
2005-04-30,937,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,30,NA,NA,NA,NA,NA,NA,NA,88,18.4,14.1,9.2,0.0,0,0.3,5.4
2005-05-01,1085,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,3,2005.0,5.0,1,NA,NA,NA,NA,NA,NA,NA,71,27.5,18.7,8.4,0.0,0,11.6,5.9
2005-05-02,759,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,2,NA,NA,NA,NA,NA,NA,NA,65,25.5,20.2,13.9,1.6,0,5.5,9.5
2005-05-03,616,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,3,NA,NA,NA,NA,NA,NA,NA,95,16.6,14.1,10.5,10.9,0,0.2,8.9
2005-05-04,855,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,4,NA,NA,NA,NA,NA,NA,NA,84,16.7,13.0,8.3,0.0,0,2.6,9.6
2005-05-05,1291,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,3,2005.0,5.0,5,NA,NA,NA,NA,NA,NA,NA,66,14.0,9.5,3.7,3.9,0,6.5,12.7
2005-05-06,1695,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,1,0,2005.0,5.0,6,NA,NA,NA,NA,NA,NA,NA,85,12.8,8.8,5.4,4.5,0,2.8,14.7
2005-05-07,1594,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,7,NA,NA,NA,NA,NA,NA,NA,90,10.0,6.7,3.9,6.8,0,0.5,15.1
2005-05-08,1249,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,8,NA,NA,NA,NA,NA,NA,NA,87,10.6,5.9,2.8,8.6,0,4.8,16.7
2005-05-09,771,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,9,NA,NA,NA,NA,NA,NA,NA,84,11.7,6.4,3.1,6.8,0,4.8,10.0
2005-05-10,549,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,10,NA,NA,NA,NA,NA,NA,NA,81,11.9,7.4,4.3,1.9,0,3.9,13.0
2005-05-11,638,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,11,NA,NA,NA,NA,NA,NA,NA,77,13.5,8.1,3.7,1.1,0,5.4,10.8
2005-05-12,526,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,12,NA,NA,NA,NA,NA,NA,NA,75,13.0,7.8,1.8,0.0,0,6.3,7.5
2005-05-13,656,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,13,NA,NA,NA,NA,NA,NA,NA,67,16.8,11.1,3.3,0.0,0,10.0,10.0
2005-05-14,913,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,14,NA,NA,NA,NA,NA,NA,NA,71,15.6,11.6,9.3,0.3,0,0.5,9.1
2005-05-15,1472,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,15,NA,NA,NA,NA,NA,NA,NA,82,12.7,9.4,6.8,0.2,0,3.7,7.4
2005-05-16,1702,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,3,2005.0,5.0,16,NA,NA,NA,NA,NA,NA,NA,81,15.8,9.4,3.5,1.7,0,1.8,10.4
2005-05-17,600,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,17,NA,NA,NA,NA,NA,NA,NA,68,12.6,8.0,4.5,0.0,0,3.3,6.9
2005-05-18,714,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,18,NA,NA,NA,NA,NA,NA,NA,66,13.8,8.0,1.8,0.0,0,8.6,7.3
2005-05-19,600,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,19,NA,NA,NA,NA,NA,NA,NA,58,18.9,12.0,2.1,1.9,0,11.7,10.6
2005-05-20,685,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,20,NA,NA,NA,NA,NA,NA,NA,74,21.6,15.0,10.1,11.2,0,4.3,9.3
2005-05-21,1009,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,21,NA,NA,NA,NA,NA,NA,NA,73,21.2,16.5,11.4,0.0,0,6.4,7.3
2005-05-22,1456,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,22,NA,NA,NA,NA,NA,NA,NA,67,21.7,16.8,12.2,1.2,0,7.8,9.8
2005-05-23,693,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,23,NA,NA,NA,NA,NA,NA,NA,69,18.3,14.0,8.4,0.0,0,7.9,9.1
2005-05-24,582,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,24,NA,NA,NA,NA,NA,NA,NA,64,19.1,14.1,8.1,0.0,0,5.7,9.7
2005-05-25,1462,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,1,0,2005.0,5.0,25,NA,NA,NA,NA,NA,NA,NA,65,23.0,17.5,12.5,0.0,0,8.2,12.5
2005-05-26,1878,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,1,2,2005.0,5.0,26,NA,NA,NA,NA,NA,NA,NA,58,29.6,21.8,11.7,0.0,0,12.7,11.3
2005-05-27,2445,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,1,0,2005.0,5.0,27,NA,NA,NA,NA,NA,NA,NA,59,31.0,23.4,14.1,0.0,0,14.4,6.1
2005-05-28,2621,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,1,0,2005.0,5.0,28,NA,NA,NA,NA,NA,NA,NA,52,31.7,24.8,14.9,0.0,0,14.7,11.1
2005-05-29,2262,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,29,NA,NA,NA,NA,NA,NA,NA,57,24.7,17.9,11.7,18.1,0,12.4,11.3
2005-05-30,626,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,30,NA,NA,NA,NA,NA,NA,NA,91,13.2,9.9,7.9,5.2,0,0.0,12.2
2005-05-31,637,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,5.0,31,NA,NA,NA,NA,NA,NA,NA,85,15.7,10.1,6.0,5.5,0,4.8,12.9
2005-06-01,628,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,1,NA,NA,NA,NA,NA,NA,NA,67,16.3,10.7,4.3,2.3,0,8.5,7.5
2005-06-02,672,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,2,NA,NA,NA,NA,NA,NA,NA,84,19.6,14.0,9.3,0.0,0,0.7,8.6
2005-06-03,855,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,3,NA,NA,NA,NA,NA,NA,NA,74,26.2,18.7,12.1,0.6,0,12.0,16.9
2005-06-04,1242,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,4,NA,NA,NA,NA,NA,NA,NA,83,17.8,13.6,11.5,11.6,0,4.1,15.1
2005-06-05,1916,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,5,NA,NA,NA,NA,NA,NA,NA,93,15.5,12.6,10.5,19.0,0,0.5,9.4
2005-06-06,1387,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,6,NA,NA,NA,NA,NA,NA,NA,74,14.1,10.7,6.7,0.1,0,1.7,10.8
2005-06-07,513,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,7,NA,NA,NA,NA,NA,NA,NA,68,15.4,10.5,6.4,0.0,0,8.0,14.2
2005-06-08,643,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,8,NA,NA,NA,NA,NA,NA,NA,70,16.5,10.9,4.8,0.0,0,8.3,8.2
2005-06-09,675,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,9,NA,NA,NA,NA,NA,NA,NA,65,19.8,13.0,4.2,0.0,0,12.1,6.6
2005-06-10,562,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,10,NA,NA,NA,NA,NA,NA,NA,74,19.8,12.8,9.0,0.7,0,4.2,12.5
2005-06-11,1224,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,11,NA,NA,NA,NA,NA,NA,NA,76,14.0,10.2,8.0,0.3,0,2.5,10.4
2005-06-12,1705,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,12,NA,NA,NA,NA,NA,NA,NA,77,14.2,10.6,5.8,7.3,0,5.0,11.1
2005-06-13,724,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,13,NA,NA,NA,NA,NA,NA,NA,78,16.9,11.7,7.1,0.2,0,7.2,11.6
2005-06-14,601,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,14,NA,NA,NA,NA,NA,NA,NA,63,21.9,15.2,6.5,0.0,0,12.8,7.3
2005-06-15,857,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,15,NA,NA,NA,NA,NA,NA,NA,63,25.0,18.2,8.0,0.0,0,13.0,9.6
2005-06-16,729,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,16,NA,NA,NA,NA,NA,NA,NA,62,22.6,19.0,13.7,0.0,0,7.9,10.7
2005-06-17,731,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,17,NA,NA,NA,NA,NA,NA,NA,83,23.2,18.7,15.0,0.3,0,1.0,10.4
2005-06-18,1415,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,18,NA,NA,NA,NA,NA,NA,NA,58,23.4,17.4,12.2,0.0,0,14.7,7.1
2005-06-19,3761,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,19,NA,NA,NA,NA,NA,NA,NA,57,27.9,20.1,9.8,0.0,0,16.1,5.7
2005-06-20,1827,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,20,NA,NA,NA,NA,NA,NA,NA,59,30.6,24.0,14.6,0.0,0,15.6,6.2
2005-06-21,983,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,21,NA,NA,NA,NA,NA,NA,NA,66,27.4,22.2,14.8,0.0,0,8.1,10.9
2005-06-22,880,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,22,NA,NA,NA,NA,NA,NA,NA,64,24.6,18.8,13.0,0.0,0,11.8,8.0
2005-06-23,1669,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,23,NA,NA,NA,NA,NA,NA,NA,57,29.2,22.0,12.4,0.0,0,16.0,6.6
2005-06-24,1486,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,24,NA,NA,NA,NA,NA,NA,NA,60,32.0,24.5,18.2,0.0,0,8.7,5.8
2005-06-25,1529,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,25,NA,NA,NA,NA,NA,NA,NA,83,23.6,19.0,12.6,3.5,0,4.4,9.8
2005-06-26,2011,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,26,NA,NA,NA,NA,NA,NA,NA,67,22.9,17.0,12.3,0.0,0,12.6,7.3
2005-06-27,1028,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,27,NA,NA,NA,NA,NA,NA,NA,62,24.5,17.7,9.9,0.0,0,15.9,7.9
2005-06-28,907,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,28,NA,NA,NA,NA,NA,NA,NA,66,24.6,17.4,9.3,0.0,0,15.2,7.2
2005-06-29,851,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,29,NA,NA,NA,NA,NA,NA,NA,65,24.7,17.5,11.6,0.0,0,4.8,6.2
2005-06-30,619,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,6.0,30,NA,NA,NA,NA,NA,NA,NA,82,19.8,17.1,14.6,3.6,0,1.2,5.8
2005-07-01,784,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,7.0,1,NA,NA,NA,NA,NA,NA,NA,85,22.3,16.5,12.2,3.4,0,1.6,11.6
2005-07-02,1050,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,7.0,2,NA,NA,NA,NA,NA,NA,NA,76,23.0,18.3,10.2,0.0,0,6.9,5.5
2005-07-03,1589,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,7.0,3,NA,NA,NA,NA,NA,NA,NA,74,25.9,20.4,16.9,0.0,0,5.9,6.4
2005-07-04,1094,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,7.0,4,NA,NA,NA,NA,NA,NA,NA,76,29.5,20.3,13.3,7.8,0,8.4,14.9
2005-07-05,829,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,7.0,5,NA,NA,NA,NA,NA,NA,NA,72,20.2,14.7,9.5,0.0,0,7.0,9.5
2005-07-06,981,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,7.0,6,NA,NA,NA,NA,NA,NA,NA,79,20.4,14.9,8.7,5.5,0,4.6,9.5
2005-07-07,759,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,2,0,2005.0,7.0,7,NA,NA,NA,NA,NA,NA,NA,80,19.4,15.0,12.2,0.2,0,2.6,6.9
2005-07-08,938,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,2,0,2005.0,7.0,8,NA,NA,NA,NA,NA,NA,NA,86,19.6,14.7,11.5,5.2,0,2.5,8.1
2005-07-09,1155,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,2,0,2005.0,7.0,9,NA,NA,NA,NA,NA,NA,NA,87,19.8,15.8,10.7,0.0,0,1.3,5.8
2005-07-10,2171,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,2,0,2005.0,7.0,10,NA,NA,NA,NA,NA,NA,NA,66,28.9,21.5,13.7,1.1,0,11.1,12.2
2005-07-11,1361,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,2,0,2005.0,7.0,11,NA,NA,NA,NA,NA,NA,NA,69,28.2,21.2,13.9,0.0,0,12.4,9.9
2005-07-12,1619,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,2,0,2005.0,7.0,12,NA,NA,NA,NA,NA,NA,NA,62,30.3,22.5,14.1,0.0,0,12.4,8.8
2005-07-13,1620,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,2,0,2005.0,7.0,13,NA,NA,NA,NA,NA,NA,NA,69,NA,21.7,NA,0.0,0,NA,NA
2005-07-14,2047,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,14,NA,NA,NA,NA,NA,NA,NA,69,28.3,21.3,14.9,0.0,0,12.0,5.8
2005-07-15,1689,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,15,NA,NA,NA,NA,NA,NA,NA,61,28.4,22.0,15.7,0.0,0,11.0,11.7
2005-07-16,1406,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,16,NA,NA,NA,NA,NA,NA,NA,69,23.3,17.9,11.8,0.0,0,7.1,9.3
2005-07-17,1990,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,17,NA,NA,NA,NA,NA,NA,NA,71,22.2,16.6,10.2,0.0,0,5.6,7.3
2005-07-18,1897,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,18,NA,NA,NA,NA,NA,NA,NA,65,28.5,20.4,11.6,0.0,0,12.1,6.6
2005-07-19,1407,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,19,NA,NA,NA,NA,NA,NA,NA,64,21.6,18.3,15.8,0.4,0,3.8,11.2
2005-07-20,1550,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,20,NA,NA,NA,NA,NA,NA,NA,73,20.8,15.8,12.2,1.8,0,3.3,16.3
2005-07-21,1724,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,21,NA,NA,NA,NA,NA,NA,NA,87,16.5,14.3,12.3,3.1,0,0.4,13.0
2005-07-22,1597,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,22,NA,NA,NA,NA,NA,NA,NA,94,14.4,13.2,11.8,4.4,0,0.0,8.4
2005-07-23,1500,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,23,NA,NA,NA,NA,NA,NA,NA,79,17.8,14.5,11.8,0.0,0,0.6,7.8
2005-07-24,2088,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,24,NA,NA,NA,NA,NA,NA,NA,76,24.7,17.5,9.8,3.4,0,7.8,6.9
2005-07-25,1548,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,25,NA,NA,NA,NA,NA,NA,NA,90,22.3,17.6,15.3,13.8,0,1.8,8.3
2005-07-26,2169,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,7.0,26,NA,NA,NA,NA,NA,NA,NA,92,16.5,14.7,11.0,0.9,0,1.2,6.8
